plant,animal
Bursera,Microlophus
Cenchrus,Geospiza
Chamaesyce,Geospiza
Eragrostis,Geospiza
Eragrostis,Zenaida
Heliotropium,Geospiza
Herissantia,Geospiza
Ipomoea,Geospiza
Merremia,Geospiza
Merremia,Zenaida
Opuntia,Geospiza
Opuntia,Microlophus
Opuntia,Stomion
Opuntia,Zenaida
Portulaca,Microlophus
Sesuvium,Zenaida
Tiquilia,Microlophus
Tribulus,Geospiza
Acalypha,Geospiza
Amaranthus,Geospiza
Boerhavia,Geospiza
Boerhavia,Sula
Bursera,Geospiza
Bursera,Myiarchus
Bursera,Sula
Bursera,Tyrannus
Bursera,Vireo
Cenchrus,Puffinus
Chamaesyce,Asio
Chamaesyce,Brachyponera
Chamaesyce,Pheidole
Chamaesyce,Tetramorium
Chloris,Puffinus
Chloris,Sula
Cleome,Neoscona
Cleome,Peucetia
Cleome,Thomisus
Cordia,Microlophus
Croton,Camponotus
Croton,Dorymyrmex
Croton,Ectatomma
Croton,Pheidole
Croton,Solenopsis
Gossypium,Geospiza
Gossypium,Solenopsis
Portulaca,Tetramorium
Sida,Geospiza
Tiquilia,Geospiza
Tournefortia,Coccyzus
Tournefortia,Crotophaga
Tournefortia,Microlophus
Tournefortia,Mimus
Tournefortia,Setophaga
