plant,animal
Boerhavia,Eumorpha
Boerhavia,Geospiza
Bursera,Geospiza
Bursera,Schistocerca
Bursera,Setophaga
Cacabus,Aphis
Cacabus,Eumorpha
Chamaesyce,Amerus
Chamaesyce,Aphis
Chamaesyce,Geospiza
Chamaesyce,Reduviidae
Croton,Aphis
Croton,Coccidae
Croton,Halmenus
Eragrostis,Geospiza
Eragrostis,Stomion
Heliotropium,Aphis
Heliotropium,Rhopalosiphum
Herissantia,Stomion
Ipomoea,Aphis
Ipomoea,Rhopalosiphum
Merremia,Aphis
Merremia,Halmenus
Merremia,Schistocerca
Opuntia,Stomion
Portulaca,Eumorpha
Portulaca,Geospiza
Rocella,Geospiza
Sida,Schistocerca
Sida,Halmenus
Sida,Stomion
Sesuvium,Eumorpha
Sesuvium,Geospiza
Sesuvium,Tenebrionidae
Tiquilia,Amerus
Tiquilia,Aphis
Tiquilia,Lesmone
Tiquilia,Rhopalosiphum
Tiquilia,Stomion
Tribulus,Aphis
Tribulus,Geospiza
Tribulus,Rhopalosiphum
Tribulus,Stomion
Acalypha,Paracoccus
Acalypha,Rekoa
Alternanthera,Agasicles
Alternanthera,Atractomorpha
Alternanthera,Callosobruchus
Alternanthera,Hymenia
Alternanthera,Tribolium
Amaranthus,Callosobruchus
Amaranthus,Geospiza
Amaranthus,Tribolium
Aristida,Callophrys
Boerhavia,Aphis
Boerhavia,Schistocerca
Chamaesyce,Liorhyssus
Chamaesyce,Nysius
Cordia,Coptotermes
Cordia,Heterotermes
Croton,Camponotus
Croton,Canthon
Croton,Monomorium
Croton,Pheidole
Croton,Tapinoma
Cuscuta,Aphis
Cyperus,Ischnodemus
Cyperus,Schistocerca
Desmodium,Aphis
Desmodium,Brachycaudus
Desmodium,Brachyplatys
Digitaria,Cicadulina
Digitaria,Cnaphalocrocis
Digitaria,Corcyra
Digitaria,Ephestia
Digitaria,Leptocoryza
Digitaria,Nilaparvata
Digitaria,Sogatella
Digitaria,Solenopsis
Digitaria,Toxoptera
Digitaria,Tribolium
Eleusine,Brachycaudus
Eleusine,Hysteroneura
Eleusine,Rhopalosiphum
Eleusine,Sogatella
Eleusine,Solenopsis
Eleusine,Tetraneura
Eragrostis,Rhopalosiphum
Gossypium,Aphis
Gossypium,Paracoccus
Gossypium,Schistocerca
Gossypium,Thyanta
Heliotropium,Aphididae
Heliotropium,Deuterocampta
Heliotropium,Dictyla
Heliotropium,Haplothrips
Heliotropium,Longitarsus
Heliotropium,Schistocerca
Ipomoea,Aedia
Ipomoea,Charidotella
Ipomoea,Deloyala
Ipomoea,Omaspides
Opuntia,Acromyrmex
Opuntia,Aedes
Opuntia,Anastrepha
Opuntia,Aphididae
Opuntia,Brachymyrmex
Opuntia,Cactoblastis
Opuntia,Cactophagus
Opuntia,Camponotus
Opuntia,Ceratitis
Opuntia,Chelinidea
Opuntia,Dactylopus
Opuntia,Diaspis
Opuntia,Dorymyrmex
Opuntia,Dysdercus
Opuntia,Forelius
Opuntia,Gerstaeckeri
Opuntia,Lonchaeidae
Opuntia,Melitara
Opuntia,Narnia
Opuntia,Pheidole
Opuntia,Tephritidae
Opuntia,Thysanoptera
Paspalum,Cicadulina
Paspalum,Schistocerca
Paspalum,Solenopsis
Phaseolus,Aphis
Phaseolus,Rhopalosiphum
Phaseolus,Schistocerca
Phaseolus,Thyanta
Salvia,Altica
Salvia,Longitarsus
Salvia,Rhyzopertha
Sarcostemma,Aphis
Sida,Aphis
Sida,Rhopalosiphum
Tournefortia,Longitarsus
Trianthema,Phenacoccus
Trianthema,Spoladea
Tribulus,Schistocerca
Waltheria,Schistocerca
