plant,animal
Boerhavia,Eumorpha
Boerhavia,Geospiza
Bursera,Geospiza
Bursera,Schistocerca
Bursera,Setophaga
Cacabus,Aphis
Cacabus,Eumorpha
Chamaesyce,Amerus
Chamaesyce,Aphis
Chamaesyce,Geospiza
Chamaesyce,Reduviidae
Croton,Aphis
Croton,Coccidae
Croton,Halmenus
Eragrostis,Geospiza
Eragrostis,Stomion
Heliotropium,Aphis
Heliotropium,Rhopalosiphum
Herissantia,Stomion
Ipomoea,Aphis
Ipomoea,Rhopalosiphum
Merremia,Aphis
Merremia,Halmenus
Merremia,Schistocerca
Opuntia,Stomion
Portulaca,Eumorpha
Portulaca,Geospiza
Rocella,Geospiza
Sida,Schistocerca
Sida,Halmenus
Sida,Stomion
Sesuvium,Eumorpha
Sesuvium,Geospiza
Sesuvium,Tenebrionidae
Tiquilia,Amerus
Tiquilia,Aphis
Tiquilia,Lesmone
Tiquilia,Rhopalosiphum
Tiquilia,Stomion
Tribulus,Aphis
Tribulus,Geospiza
Tribulus,Rhopalosiphum
Tribulus,Stomion
