plant,animal
Abutilon,Xylocopa
Bursera,Geospiza
Cacabus,Geospiza
Cacabus,Microlophus
Cacabus,Tachinidae
Cacabus,Tiphiidae
Cacabus,Utetheisa
Castela,Microlophus
Chamaesyce,Geospiza
Chamaesyce,Lepidanthrax
Chamaesyce,Monomorium
Chamaesyce,Rhopalosiphum
Chamaesyce,Zenaida
Cordia,Setophaga
Cordia,Xylocopa
Croton,Polistes
Croton,Utetheisa
Ipomoea,Xylocopa
Ipomoea,Tetramorium
Merremia,Aphis
Merremia,Geospiza
Merremia,Phoebis
Merremia,Tachinidae
Merremia,Zenaida
Mollugo,Lepidanthrax
Mollugo,Tachinidae
Opuntia,Geospiza
Opuntia,Monomorium
Opuntia,Phoebis
Opuntia,Xylocopa
Portulaca,Cymoninus
Portulaca,Geospiza
Portulaca,Muscidae
Portulaca,Phoebis
Portulaca,Stomion
Portulaca,Tiphiidae
Portulaca,Utetheisa
Portulaca,Xylocopa
Portulaca,Zenaida
Sesuvium,Lepidanthrax
Sesuvium,Liohippelates
Sida,Geospiza
Tiquilia,Geospiza
Tiquilia,Lepidanthrax
Tiquilia,Microlophus
Tiquilia,Zenaida
Tribulus,Cloropidae
Tribulus,Lepidanthrax
Tribulus,Muscidae
Tribulus,Tachinidae
Tribulus,Xylocopa
