plant,animal
Abutilon,Xylocopa
Bursera,Geospiza
Cacabus,Geospiza
Cacabus,Microlophus
Cacabus,Tachinidae
Cacabus,Tiphiidae
Cacabus,Utetheisa
Castela,Microlophus
Chamaesyce,Geospiza
Chamaesyce,Lepidanthrax
Chamaesyce,Monomorium
Chamaesyce,Rhopalosiphum
Chamaesyce,Zenaida
Cordia,Setophaga
Cordia,Xylocopa
Croton,Polistes
Croton,Utetheisa
Ipomoea,Xylocopa
Ipomoea,Tetramorium
Merremia,Aphis
Merremia,Geospiza
Merremia,Phoebis
Merremia,Tachinidae
Merremia,Zenaida
Mollugo,Lepidanthrax
Mollugo,Tachinidae
Opuntia,Geospiza
Opuntia,Monomorium
Opuntia,Phoebis
Opuntia,Xylocopa
Portulaca,Cymoninus
Portulaca,Geospiza
Portulaca,Muscidae
Portulaca,Phoebis
Portulaca,Stomion
Portulaca,Tiphiidae
Portulaca,Utetheisa
Portulaca,Xylocopa
Portulaca,Zenaida
Sesuvium,Lepidanthrax
Sesuvium,Liohippelates
Sida,Geospiza
Tiquilia,Geospiza
Tiquilia,Lepidanthrax
Tiquilia,Microlophus
Tiquilia,Zenaida
Tribulus,Cloropidae
Tribulus,Lepidanthrax
Tribulus,Muscidae
Tribulus,Tachinidae
Tribulus,Xylocopa
Bursera,Microlophus
Bursera,Polistes
Chamaesyce,Microlophus
Cleome,Apis
Cleome,Ceratina
Cleome,Eurema
Cleome,Halictus
Cleome,Nomia
Cordia,Microlophus
Croton,Ammophila
Croton,Apiomerus
Croton,Ashmeadiella
Croton,Brachygastra
Croton,Camponotus
Croton,Carabidae
Croton,Cephalotes
Croton,Chrysomelidae
Croton,Crematogaster
Croton,Eumenes
Croton,Eumeninae
Croton,Euptoieta
Croton,Geometrinae
Croton,Membracidae
Croton,Microtia
Croton,Montezumia
Croton,Muscidae
Croton,Nicolaea
Croton,Polybia
Croton,Pseudomyrmex
Croton,Rhopalophora
Croton,Stenobatyle
Croton,Tachinidae
Croton,Theclinae
Croton,Trigona
Croton,Trigonopeltastes
Croton,Zethus
Exodeconus,Microlophus
Heliotropium,Microlophus
Ipomoea,Pheidole
Merremia,Agrius
Merremia,Apis
Merremia,Catopsilia
Merremia,Chilades
Merremia,Erinnyis
Merremia,Euchrysop
Merremia,Halictus
Merremia,Hyles
Merremia,Leptotes
Merremia,Manduca
Merremia,Phytophaga
Merremia,Trigona
Merremia,Xylocopa
Merremia,Zizeeria
Opuntia,Polistes
Salvia,Aphidius
Salvia,Apis
Salvia,Bombus
Salvia,Lasioglosum
Salvia,Polistes
Scalesia,Halmenus
Scalesia,Lepidanthrax
Scalesia,Polistes
Scalesia,Xylocopa
Sesuvium,Microlophus
