plant,animal
Allium,Agromyzidae
Allium,Calliphora
Allium,Colias
Allium,Episyrphus
Allium,Eristalis
Allium,Parasyrphus
Allium,Pieris
Allium,Vanessa
Centrathus,Podarcis
Chenopodium,Podarcis
Chrysanthemum,Diptera
Diplotaxis,Agromyzidae
Diplotaxis,Amegilla
Diplotaxis,Anthophora
Diplotaxis,Diptera
Diplotaxis,Episyrphus
Diplotaxis,Podarcis
Diplotaxis,Utetheisa
Ephedra,Dasytes
Ephedra,Diptera
Ephedra,Podarcis
Erodium,Agromyzidae
Erodium,Coenosia
Erodium,Episyrphus
Erodium,Parasyrphus
Euphorbia,Amegilla
Euphorbia,Coleoptera
Euphorbia,Diptera
Euphorbia,Pheidole
Euphorbia,Podarcis
Euphorbia,Vespidae
Fagonia,Agromyzidae
Fagonia,Amegilla
Fagonia,Anthophora
Fagonia,Podarcis
Geranium,Diptera
Geranium,Podarcis
Heliotropium,Ancistocerus
Heliotropium,Podarcis
Heliotropium,Utetheisa
Lavatera,Amegilla
Lavatera,Anthophora
Lavatera,Coenosia
Lavatera,Macroglossum
Lavatera,Pheidole
Lavatera,Podarcis
Lavatera,Sylvia
Medicago,Colias
Medicago,Episyrphus
Medicago,Eristalis
Medicago,Podarcis
Narcissus,Coenosia
Narcissus,Eristalis
Narcissus,Macroglossum
Pistacia,Podarcis
Sisymbrium,Podarcis
Sisymbrium,Sylvia
Suaeda,Podarcis
Withania,Amegilla
Withania,Ancistocerus
Withania,Anthophora
Withania,Coenosia
Withania,Eristalis
Withania,Macroglossum
Withania,Parasyrphus
Withania,Podarcis
Withania,Sylvia
Withania,Tineidae
