plant,animal
Allium,Agrotis
Allium,Thysanoptera
Avena,Coleophoridae
Avena,Heliothis
Brachypodium,Mythimna
Bromus,Coleophoridae
Calendula,Macroglossum
Calendula,Thysanoptera
Cardamine,Pieris
Carduus,Vanessa
Carlina,Podarcis
Centaurea,Heliothis
Convolvulus,Fulgoromorpha
Crassula,Tineidae
Daucus,Milax
Daucus,Mordellistena
Daucus,Stegobium
Echium,Phylloscopus
Euphorbia,Podarcis
Euphorbia,Stegobium
Galium,Armadillo
Galium,Fulgoromorpha
Galium,Macroglossum
Geranium,Heliothis
Hordeum,Coleophoridae
Hordeum,Mythimna
Lavatera,Phylloscopus
Lolium,Agrotis
Lolium,Armadillo
Lolium,Mythimna
Lotus,Phylloscopus
Medicago,Agrotis
Medicago,Armadillo
Medicago,Colias
Medicago,Episyrphus
Medicago,Thysanoptera
Olea,Eupeodes
Olea,Thysanoptera
Pistacia ,Acrosternum
Pistacia ,Tineidae
Plantago,Acrosternum
Plantago,Fulgoromorpha
Plantago,Heliothis
Plantago,Scopula
Plantago,Vanessa
Poa,Agrotis
Polygonum,Rhodometra
Reseda,Theba
Rumex,Heliothis
Silene,Coleophoridae
Silene,Thysanoptera
Sinapis,Hellula
Sinapis,Pieris
Solanum,Acrosternum
Solanum,Agrotis
Solanum,Fulgoromorpha
Solanum,Heliothis
Solanum,Limax
Solanum,Macroglossum
Solanum,Milax
Solanum,Stegobium
Solanum,Theba
Solanum,Thysanoptera
Urtica,Eobania
Urtica,Vanessa
