plant,animal
Asthydamia,Ischiodon
Asthydamia,Lucilia
Asthydamia,Trixoscelis
Calendula,Episyrphus
Calendula,Ischiodon
Cistanche,Amegilla
Cistanche,Trixoscelis
Echium,Anthophora
Euphorbia,Aeolothripidae
Euphorbia,Dasytes
Euphorbia,Lucilia
Kickxia,Aeolothripidae
Kickxia,Amegilla
Launaea,Aeolothripidae
Launaea,Aulacoderus
Launaea,Ischiodon
Launaea,Trupanea
Launaea,Vanessa
Lotus,Aeolothripidae
Lotus,Chalicodoma
Lotus,Gallotia
Lotus,Vanessa
Polycarpea,Gallotia
Salsola,Aeolothripidae
Sonchus,Attagenus
Sonchus,Dasytes
Sonchus,Trupanea
Sonchus,Aeolothripidae
Sonchus,Attalus
Spergularia,Aeolothripidae
Spergularia,Ischiodon
Ajuga,Anthophora
Allium,Calliphora
Allium,Lucilia
Asphodelus,Anthophora
Astragalus,Anthophora
Astragalus,Bombus
Coronilla,Anthophora
Echium,Acalles
Echium,Amegilla
Echium,Anaspis
Echium,Attalus
Echium,Bombus
Echium,Calliphora
Echium,Camponotus
Echium,Chrysoperla
Echium,Colias
Echium,Cryptocephalus
Echium,Cryptolestes
Echium,Dasytes
Echium,Gallotia
Echium,Lucilia
Echium,Lycaena
Echium,Macroglossum
Echium,Malthinus
Echium,Mesites
Echium,Musca
Echium,Nesotes
Echium,Scaeva
Echium,Scymnus
Echium,Sphaerophoria
Echium,Sylvia
Echium,Vanessa
Euphorbia,Camponotus
Euphorbia,Plagiolepis
Frankenia,Camponotus
Frankenia,Leptothorax
Leontodon,Anthophora
Lotus,Sylvia
Lycium,Vanessa
Medicago,Amegilla
Medicago,Anthophora
Medicago,Bombus
Medicago,Chalicodoma
Medicago,Coccinella
Medicago,Vanessa
Nicotiana,Hyles
Pancratium,Hyles
Plantago,Chrysoperla
Plantago,Vanessa
Rumex,Chrysoperla
Scrophularia,Bombus
Scrophularia,Gallotia
Scrophularia,Sylvia
