plant,animal
Asthydamia,Ischiodon
Asthydamia,Lucilia
Asthydamia,Trixoscelis
Calendula,Episyrphus
Calendula,Ischiodon
Cistanche,Amegilla
Cistanche,Trixoscelis
Echium,Anthophora
Euphorbia,Aeolothripidae
Euphorbia,Dasytes
Euphorbia,Lucilia
Kickxia,Aeolothripidae
Kickxia,Amegilla
Launaea,Aeolothripidae
Launaea,Aulacoderus
Launaea,Ischiodon
Launaea,Trupanea
Launaea,Vanessa
Lotus,Aeolothripidae
Lotus,Chalicodoma
Lotus,Gallotia
Lotus,Vanessa
Polycarpea,Gallotia
Salsola,Aeolothripidae
Sonchus,Attagenus
Sonchus,Dasytes
Sonchus,Trupanea
Sonchus,Aeolothripidae
Sonchus,Attalus
Spergularia,Aeolothripidae
Spergularia,Ischiodon
