plant,animal
Allium,Temnothorax
Asparagus,Erithacus
Asparagus,Falco
Asparagus,Turdus
Avena,Messor
Brachypodium,Messor
Capsella,Armadillo
Capsella,Temnothorax
Carduus,Carduelis
Chenopodium,Carduelis
Chrysanthemum,Messor
Ephedra,Podarcis
Erodium,Carduelis
Erodium,Messor
Euphorbia,Carduelis
Euphorbia,Cydnus
Euphorbia,Messor
Euphorbia,Pheidole
Limonium,Coleophoridae
Limonium,Messor
Lolium,Milax
Lolium,Monomorium
Olea,Erithacus
Olea,Sylvia
Olea,Turdus
Phalaris ,Pheidole
Pistacia ,Erithacus
Pistacia ,Oenanthe
Pistacia ,Phoenicurus
Pistacia ,Sylvia
Plantago,Messor
Poa,Armadillo
Polypogon,Larus
Silene,Messor
Sisymbrium,Carduelis
Solanum,Carduelis
Solanum,Podarcis
Solanum,Turdus
Sonchus,Carduelis
Stellaria,Temnothorax
Suaeda,Carduelis
Withania,Podarcis
