plant,animal
Allium,Agromyzidae
Allium,Calliphora
Allium,Eristalis
Allium,Hylaeus
Allium,Machimus
Allium,Menophra
Allium,Podarcis
Anagallis,Menophra
Anagallis,Scirtidae
Calendula,Eristalis
Calendula,Parasyrphus
Carduus,Eupeodes
Carduus,Monomorium
Carlina,Podarcis
Centaurea,Episyrphus
Centaurea,Eristalis
Centaurea,Eupeodes
Centaurea,Parasyrphus
Chrysanthemum,Aedes
Chrysanthemum,Agrotis
Chrysanthemum,Menophra
Daucus,Calliphora
Daucus,Eristalis
Daucus,Eupeodes
Daucus,Menophra
Echium,Amegilla
Echium,Episyrphus
Echium,Sylvia
Ephedra,Geometridae
Ephedra,Podarcis
Erodium,Menophra
Euphorbia,Ancistrocerus
Euphorbia,Camponotus
Euphorbia,Dasytes
Euphorbia,Spilostethus
Galium,Agrotis
Galium,Episyrphus
Galium,Macroglossum
Galium,Parasyrphus
Geranium,Hylaeus
Heliotropium,Agrotis
Heliotropium,Hylaeus
Lavatera,Xylocopa
Leontodon,Menophra
Lotus,Phylloscopus
Lotus,Sylvia
Malva,Episyrphus
Medicago,Episyrphus
Narcissus,Colias
Narcissus,Episyrphus
Narcissus,Eristalis
Narcissus,Lasioglossum
Narcissus,Macroglossum
Narcissus,Pieris
Narcissus,Utetheisa
Narcissus,Vanessa
Narcissus,Xylocopa
Olea,Agrotis
Olea,Episyrphus
Olea,Eristalis
Olea,Eupeodes
Olea,Menophra
Pistacia,Ectopsocus
Pistacia,Podarcis
Plantago,Menophra
Polygonum,Episyrphus
Silene,Geometridae
Silene,Ichneumonidae
Sinapis,Eristalis
Solanum,Amegilla
Solanum,Diplolepis
Solanum,Hylaeus
Solanum,Lasioglossum
Solanum,Xylocopa
Sonchus,Lasioglossum
Urtica,Menophra
Withania,Amegilla
Withania,Lasioglossum
