plant,animal
Diplotaxis,Tettigometra
Diplotaxis,Tineidae
Ephedra,Braconidae
Euphorbia,Anthicus
Euphorbia,Aphididae
Euphorbia,Cydnus
Euphorbia,Ectobius
Euphorbia,Tettigometra
Euphorbia,Tineidae
Lavatera,Coleoptera
Lavatera,Dicyphus
Lavatera,Ectobius
Lavatera,Sarcophaga
Lavatera,Tettigometra
Lavatera,Tineidae
Medicago,Anthicus
Medicago,Aphididae
Medicago,Ectobius
Medicago,Ectopsocus
Medicago,Sarcophaga
Olea,Anthicus
Olea,Danacea
Olea,Ectobius
Olea,Ectopsocus
Olea,Spilostethus
Olea,Tettigometra
Suaeda,Aphididae
Suaeda,Coleoptera
Suaeda,Colydiidae
Suaeda,Dasytes
Suaeda,Sarcophaga
Suaeda,Tettigometra
Withania,Anthicus
Withania,Anthomyidae
Withania,Aphididae
Withania,Dicyphus
Withania,Macrolophus
Withania,Reticulitermes
Withania,Rhodometra
Withania,Sarcophaga
Withania,Spilostethus
Withania,Tettigometra
Withania,Tineidae
